,phrase,label,sentiment,subjectivity,language,count,geonames,geotype,latitude,longitude,country,ipcc
Longer Growing Season,Longer Growing Season,EVENT,,,en,1,,,,,,
Patriot,Patriot,PRODUCT,,,en,1,,,,,,
10/14/2025 8:36:18 AM PDT,10/14/2025 8:36:18 AM PDT,TIME,,,en,1,,,,,,
Car Crash Newsmax,Car Crash Newsmax,WORK_OF_ART,,,en,1,,,,,,
Monday afternoon,Monday afternoon,TIME,,,en,1,,,,,,
Car Crash,Car Crash,WORK_OF_ART,,,en,1,,,,,,
16 Inches,16 Inches,QUANTITY,,,en,1,,,,,,
Anti-Hero,Anti-Hero,WORK_OF_ART,,,en,1,,,,,,
+2934,+2934,NORP,,,en,1,,,,,,
close to five decades,close to five decades,DATE,,,en,1,,,,,,
128,128,CARDINAL,,,en,1,,,,,,
several inches,several inches,QUANTITY,,,en,1,,,,,,
2025-11-09,2025-11-09,DATE,,,en,1,,,,,,
Winter Storm,Winter Storm,WORK_OF_ART,,,en,1,,,,,,
+1338,+1338,NORP,,,en,1,,,,,,
the next few days,the next few days,DATE,,,en,1,,,,,,
about 11:30 a.m.,about 11:30 a.m.,TIME,,,en,1,,,,,,
2023,2023,DATE,,,en,1,,,,,,
sixth,sixth,ORDINAL,,,en,1,,,,,,
early November,early November,DATE,,,en,1,,,,,,
about the year,about the year,DATE,,,en,1,,,,,,
year,year,DATE,,,en,1,,,,,,
10 years,10 years,DATE,,,en,1,,,,,,
Great Lakes,Great Lakes,FAC,0.2,0.4375,en,1,,,,,,
Polestar 2,Polestar 2,FAC,,,en,1,,,,,,
Up to 2 feet,Up to 2 feet,QUANTITY,,,en,1,,,,,,
Quebecers,Quebecers,NORP,,,en,1,,,,,,
between 5 and 10 cm,between 5 and 10 cm,CARDINAL,,,en,1,,,,,,
Fri,Fri,DATE,,,en,1,,,,,,
the years,the years,DATE,,,en,1,,,,,,
This Success Story,This Success Story,WORK_OF_ART,,,en,1,,,,,,
"Friday, Nov. 7","Friday, Nov. 7",DATE,,,en,1,,,,,,
multiple days,multiple days,DATE,,,en,1,,,,,,
+5260 chars,+5260 chars,WORK_OF_ART,,,en,1,,,,,,
November 7,November 7,DATE,,,en,1,,,,,,
10 Inches,10 Inches,QUANTITY,,,en,1,,,,,,
6 a.m.,6 a.m.,TIME,,,en,1,,,,,,
"Sunday, Nov. 9 through 6 a.m.","Sunday, Nov. 9 through 6 a.m.",DATE,,,en,1,,,,,,
1.0.1,1.0.1,CARDINAL,,,en,1,,,,,,
Snowflake,Snowflake,PRODUCT,,,en,1,,,,,,
30/28 days,30/28 days,DATE,,,en,1,,,,,,
299,299,MONEY,,,en,1,,,,,,
$30/28-Day,$30/28-Day,MONEY,,,en,1,,,,,,
$299 Delivered,$299 Delivered,MONEY,,,en,1,,,,,,
Fiction,Fiction,WORK_OF_ART,,,en,1,,,,,,
5:01 PM,5:01 PM,TIME,,,en,1,,,,,,
"November 9, 2025","November 9, 2025",DATE,,,en,1,,,,,,
Second,Second,ORDINAL,,,en,1,,,,,,
first snowfall of season,first snowfall of season,DATE,,,en,1,,,,,,
the season Sunday,the season Sunday,DATE,,,en,1,,,,,,
a record 39 days,a record 39 days,DATE,,,en,1,,,,,,
Air Max Goadome,Air Max Goadome,PRODUCT,,,en,1,,,,,,
Baroque Brown,Baroque Brown,WORK_OF_ART,,,en,1,,,,,,
Air Max Boot,Air Max Boot,PRODUCT,,,en,1,,,,,,
Its Sweetest Hour,Its Sweetest Hour,TIME,,,en,1,,,,,,
about six years ago,about six years ago,DATE,,,en,1,,,,,,
72%,72%,PERCENT,,,en,1,,,,,,
2017,2017,DATE,,,en,1,,,,,,
Game of Thrones,Game of Thrones,EVENT,,,en,1,,,,,,
Sunday morning,Sunday morning,TIME,,,en,1,,,,,,
a few months ago,a few months ago,DATE,,,en,1,,,,,,
$204 +,$204 +,MONEY,,,en,1,,,,,,
+12 chars,+12 chars,WORK_OF_ART,,,en,1,,,,,,
2021,2021,DATE,,,en,1,,,,,,
Nov. 13,Nov. 13,DATE,,,en,1,,,,,,
6 a.m. to 7 p.m.,6 a.m. to 7 p.m.,TIME,,,en,1,,,,,,
New Day',New Day',DATE,,,en,1,,,,,,
six seasons,six seasons,DATE,,,en,1,,,,,,
92%,92%,PERCENT,,,en,1,,,,,,
Next Year,Next Year,DATE,,,en,1,,,,,,
1990s,1990s,DATE,,,en,1,,,,,,
Serengeti,Serengeti,PRODUCT,0.4444444444444445,0.6611111111111111,en,1,,,,,,
the Great Migration,the Great Migration,EVENT,,,en,1,,,,,,
last year's,last year's,DATE,,,en,1,,,,,,
New AI Holiday,New AI Holiday,EVENT,,,en,1,,,,,,
"January 13, 2017","January 13, 2017",DATE,,,en,1,,,,,,
Coke,Coke,PRODUCT,,,en,1,,,,,,
Secret Wars,Secret Wars,PRODUCT,,,en,1,,,,,,
Spider-Man:,Spider-Man:,WORK_OF_ART,,,en,1,,,,,,
A week,A week,DATE,,,en,1,,,,,,
Lanterns,Lanterns,WORK_OF_ART,,,en,1,,,,,,
664,664,MONEY,,,en,1,,,,,,
Challenger,Challenger,PRODUCT,,,en,1,,,,,,
28mm,28mm,QUANTITY,,,en,1,,,,,,
35mm,35mm,QUANTITY,,,en,1,,,,,,
9/10,9/10,CARDINAL,,,en,1,,,,,,
Halloweens,Halloweens,DATE,,,en,1,,,,,,
the high 60s and,the high 60s and,DATE,,,en,1,,,,,,
the month of October,the month of October,DATE,,,en,1,,,,,,
other months,other months,DATE,,,en,1,,,,,,
that months,that months,DATE,,,en,1,,,,,,
2017 to 2023,2017 to 2023,DATE,,,en,1,,,,,,
African American,African American,NORP,,,en,1,,,,,,
Snowfall’ Spinoff Exploring,Snowfall’ Spinoff Exploring,WORK_OF_ART,,,en,1,,,,,,
90s,90s,CARDINAL,,,en,1,,,,,,
all week,all week,DATE,,,en,1,,,,,,
Last week,Last week,DATE,,,en,1,,,,,,
1 Million,1 Million,CARDINAL,,,en,1,,,,,,
+4613,+4613,NORP,,,en,1,,,,,,
219,219,CARDINAL,,,en,1,,,,,,
+48453 chars,+48453 chars,WORK_OF_ART,,,en,1,,,,,,
20(11,20(11,CARDINAL,,,en,1,,,,,,
Kota,Kota,WORK_OF_ART,,,en,1,,,,,,
Creed Shadows,Creed Shadows,WORK_OF_ART,,,en,1,,,,,,
"this Saturday, Nov. 8","this Saturday, Nov. 8",DATE,,,en,1,,,,,,
this coming weekend,this coming weekend,DATE,,,en,1,,,,,,
at least the fourth century,at least the fourth century,DATE,,,en,1,,,,,,
Romans,Romans,NORP,,,en,1,,,,,,
Snowtunnel,Snowtunnel,NORP,,,en,1,,,,,,
BMW GS,BMW GS,PRODUCT,,,en,1,,,,,,
hp,hp,PRODUCT,,,en,1,,,,,,
a day,a day,DATE,,,en,1,,,,,,
October 13th,October 13th,DATE,,,en,1,,,,,,
weeks,weeks,DATE,,,en,1,,,,,,
"February 17, 2022","February 17, 2022",DATE,,,en,1,,,,,,
5 Premiere,5 Premiere,EVENT,,,en,1,,,,,,
Snowfall,Snowfall,WORK_OF_ART,,,en,1,,,,,,
the 1990s,the 1990s,DATE,,,en,1,,,,,,
48 degrees,48 degrees,QUANTITY,,,en,1,,,,,,
